"Mass","L1","L2","L3","L4","L5","L6","L7","L8","L9"
69.1,NA,NA,2.53378378378378,NA,NA,NA,NA,0.830331468400325,NA
73.1,NA,NA,100,100,25.7389331866923,100,71.4364640883978,0.461023941989123,100
74,NA,NA,9.39189189189189,NA,NA,NA,5.5835635359116,NA,NA
76.1,NA,NA,1.9481981981982,NA,NA,NA,NA,0.910912983684441,NA
76.9,NA,NA,3.84009009009009,NA,NA,NA,NA,NA,NA
80.9,NA,NA,1.90315315315315,NA,NA,1.18649732620321,NA,NA,NA
87.9,NA,NA,4.25675675675676,3.92817059483726,NA,NA,NA,NA,NA
89.9,NA,NA,6.18243243243243,NA,NA,NA,NA,NA,NA
95.9,NA,NA,5.1463963963964,4.05060708091011,NA,NA,NA,NA,5.54690204222914
114.9,NA,NA,2.34234234234234,NA,NA,NA,NA,NA,NA
115.9,NA,NA,2.71396396396396,NA,NA,NA,NA,NA,1.70474212530287
118.9,NA,NA,6.28378378378378,5.1729415365779,1.56207038768216,NA,NA,NA,NA
121,NA,NA,2.63513513513514,NA,0.41414627440198,NA,NA,NA,NA
128.9,NA,NA,4.84234234234234,NA,NA,NA,NA,NA,NA
129.9,NA,NA,3.9527027027027,NA,NA,NA,NA,NA,2.45327102803738
132,NA,NA,4.88738738738739,NA,0.860943084960132,NA,NA,NA,2.23693319487712
132.9,NA,NA,11.4414414414414,NA,NA,NA,NA,NA,NA
133.9,NA,NA,1.70045045045045,NA,NA,1.8716577540107,NA,NA,NA
136,NA,NA,3.15315315315315,NA,NA,NA,NA,NA,3.26670128071997
144,NA,NA,2.78153153153153,NA,NA,2.41198752228164,4.12983425414365,NA,NA
148,NA,NA,2.43243243243243,5.77492092643608,1.07231234533957,NA,3.43232044198895,NA,4.63395638629283
149,NA,NA,4.94369369369369,NA,0.895312070387682,3.81016042780749,3.87430939226519,NA,NA
154,NA,NA,3.31081081081081,NA,NA,3.06372549019608,NA,NA,NA
156.1,NA,NA,12.3085585585586,NA,9.08887819631564,NA,4.95165745856354,0.267725979871226,NA
156.7,NA,NA,2.97297297297297,NA,NA,NA,NA,NA,2.86863966770509
157.1,NA,NA,3.47972972972973,NA,3.79605444047292,NA,2.04074585635359,0.516112396074264,NA
157.9,NA,NA,2.08333333333333,NA,NA,NA,NA,NA,2.15472481827622
162.9,NA,NA,1.97072072072072,4.14243444546475,0.821418751718449,NA,NA,NA,NA
165.1,NA,NA,3.68243243243243,NA,NA,NA,NA,0.0111837375757955,NA
170,NA,NA,2.18468468468468,NA,1.97449821281276,NA,NA,NA,NA
177,NA,NA,4.58333333333333,NA,NA,5.00779857397504,NA,0.0239791054572732,6.07476635514019
178.9,NA,NA,3.36711711711712,NA,NA,NA,2.78314917127072,NA,NA
190.9,NA,NA,14.8310810810811,NA,NA,NA,NA,NA,NA
191.9,NA,NA,3.8963963963964,NA,NA,3.87143493761141,2.18577348066298,NA,2.35375562478366
193,NA,NA,9.56081081081081,11.5804509743904,2.90761616717074,8.099376114082,NA,NA,11.2365870543441
194,NA,NA,1.76801801801802,2.99969390878482,NA,1.66555258467023,1.2603591160221,NA,NA
195,NA,NA,5.85585585585586,NA,1.93669232884245,NA,5,NA,6.65022499134649
196.9,NA,NA,5.68693693693694,NA,NA,NA,NA,NA,NA
198.1,NA,NA,2.72522522522523,1.5712682379349,NA,NA,NA,0.0582750867350128,NA
199,NA,NA,2.01576576576577,NA,2.79076161671707,NA,NA,NA,0.930252682589131
202,NA,NA,5.22522522522523,5.42801754922967,NA,NA,NA,NA,NA
205,NA,NA,1.98198198198198,NA,NA,0.913547237076649,1.86118784530387,0.0109517604863412,NA
208,NA,NA,19.8085585585586,16.5901438628711,4.93023095958207,17.8308823529412,12.0994475138122,NA,19.6953963309103
209.1,NA,NA,11.0135135135135,NA,2.57080010998075,NA,NA,0.0549785702006626,NA
209.9,NA,NA,2.13963963963964,NA,NA,NA,NA,NA,NA
214.1,NA,NA,17.5225225225225,NA,7.04048666483365,6.97972370766488,NA,0.804350034381446,0.6576670128072
215.2,NA,NA,5.4954954954955,NA,NA,NA,NA,NA,NA
222,NA,NA,1.91441441441441,NA,NA,NA,0.776933701657459,NA,NA
223,NA,NA,4.7972972972973,NA,0.714874896893044,NA,1.8853591160221,0.0162017683003063,2.28020076150917
238.9,NA,NA,1.76801801801802,NA,0.921088809458345,NA,NA,NA,1.90377293181032
248.9,NA,NA,3.79504504504505,4.57096214671972,0.976079186142425,NA,NA,NA,NA
250.9,NA,NA,4.17792792792793,5.93816957453321,1.53629364861149,4.38948306595365,NA,NA,NA
252.1,NA,NA,1.72297297297297,NA,NA,NA,NA,NA,NA
254.1,NA,NA,8.32207207207207,9.94796449341904,NA,NA,NA,0.092973975589173,NA
255,NA,NA,5.3490990990991,5.76471788593001,NA,NA,4.18508287292818,NA,6.03582554517134
255.9,NA,NA,2.18468468468468,NA,NA,NA,NA,NA,NA
257.1,NA,NA,62.9504504504504,NA,16.2376271652461,NA,6.2085635359116,NA,4.92817583939079
258.1,NA,NA,10.5067567567568,NA,NA,0.857843137254902,0.99792817679558,NA,0.960539979231568
259.2,NA,NA,1.99324324324324,NA,NA,NA,NA,0.285893448771645,NA
265.1,NA,NA,3.04054054054054,NA,NA,NA,NA,NA,NA
266.9,NA,NA,8.65990990990991,8.09101112131415,NA,NA,NA,NA,NA
268,NA,NA,3.32207207207207,2.24466891133558,0.671913665108606,2.65708556149733,1.68162983425414,NA,2.69556940117688
268.9,NA,NA,4.5045045045045,NA,NA,7.1078431372549,NA,NA,NA
270.1,NA,NA,1.97072072072072,NA,NA,NA,NA,NA,2.08116995500173
282,NA,NA,9.81981981981982,12.7027854300582,3.70669507836129,12.7339572192513,9.06767955801105,NA,13.9927310488058
283,NA,NA,7.33108108108108,NA,2.29412977728897,7.79857397504456,6.51243093922652,NA,9.07320872274143
284,NA,NA,1.97072072072072,2.72421181512091,0.742370085235084,NA,NA,NA,2.20664589823468
311.1,NA,NA,2.02702702702703,NA,NA,NA,NA,NA,NA
312.9,NA,NA,3.75,3.64248546066728,NA,1.7156862745098,NA,NA,NA
315,NA,NA,3.18693693693694,NA,NA,3.08600713012478,2.29972375690608,NA,NA
325,NA,NA,15.4054054054054,16.6513621059076,3.25989826780313,11.5975935828877,10.2209944751381,0.0621088133712571,15.450848044306
326,NA,NA,5.13513513513514,NA,1.11011822930987,NA,3.0421270718232,0.0182895621053948,4.24887504326757
326.9,NA,NA,15.5292792792793,16.8044077134986,NA,NA,NA,NA,NA
328,NA,NA,3.73873873873874,NA,1.17026395380808,6.12188057040998,3.85013812154696,0.0296198115271613,6.81896850121149
328.8,NA,NA,4.51576576576577,NA,NA,NA,NA,NA,NA
331,NA,NA,6.44144144144144,NA,1.70985702502062,NA,NA,NA,NA
342,NA,NA,11.7004504504505,NA,2.25116854550454,8.51158645276292,5.75966850828729,NA,8.18189685012115
343,NA,NA,8.00675675675676,9.29496990103051,2.38177069012923,9.16332442067736,NA,0.0566878750703257,8.44150224991346
346.1,NA,NA,2.98423423423423,3.22416079991838,0.44164146274402,1.53743315508021,2.16850828729282,0.0247238740076264,2.76047075112496
355.1,NA,NA,6.27252252252252,NA,NA,8.099376114082,5.58701657458564,0.0544047321372757,NA
356,NA,NA,3.15315315315315,NA,0.914215012372835,NA,1.93024861878453,NA,NA
357,NA,NA,2.30855855855856,2.22426283032344,NA,NA,NA,0.017471537632056,NA
388.9,NA,NA,2.75900900900901,NA,NA,1.56528520499109,1.44337016574586,NA,1.70474212530287
401,NA,NA,1.92567567567568,NA,0.613486389881771,NA,NA,NA,NA
402.9,NA,NA,2.56756756756757,2.41812059993878,0.776739070662634,2.2225935828877,NA,NA,NA
405.1,NA,NA,7.98423423423423,7.18294051627385,NA,NA,3.29074585635359,0.0513768206538726,NA
415,NA,NA,2.1509009009009,2.27527803285379,NA,NA,1.9371546961326,NA,NA
429.1,NA,NA,6.82432432432432,NA,2.25632389331867,7.57575757575758,4.57182320441989,NA,7.8097957770855
430.2,NA,NA,2.9954954954955,NA,NA,NA,NA,NA,NA
430.9,NA,NA,4.05405405405405,NA,NA,NA,NA,NA,NA
503.3,NA,NA,1.91441441441441,NA,0.348845202089634,NA,NA,NA,NA
50.9,NA,NA,NA,1.73451688603204,NA,NA,NA,NA,NA
55.9,NA,NA,NA,1.60187735945312,NA,NA,NA,NA,NA
57,NA,NA,NA,10.6723803693501,NA,NA,NA,NA,7.47663551401869
58.9,NA,NA,NA,7.36659524538312,NA,NA,NA,NA,NA
74.1,NA,NA,NA,7.36659524538312,1.89029419851526,10.6227718360071,NA,0.0932669992811152,10.6092073381793
75.1,NA,NA,NA,7.11151923273135,NA,5.3030303030303,4.97237569060773,0.413456429330499,8.23381793007961
103.9,NA,NA,NA,4.91786552392613,NA,NA,NA,NA,NA
115.1,NA,NA,NA,1.90796857463524,1.80609018421776,NA,NA,0.201404950928299,NA
131.9,NA,NA,NA,4.28527701254974,NA,1.98306595365419,NA,NA,NA
133.8,NA,NA,NA,1.94878073665952,0.546466868298048,NA,NA,NA,NA
135.9,NA,NA,NA,2.65279053157841,NA,NA,2.09254143646409,NA,NA
137,NA,NA,NA,2.10182634425059,0.606612592796261,NA,NA,NA,NA
143,NA,NA,NA,1.59167431894705,3.81152048391531,NA,NA,NA,1.18120456905504
148.9,NA,NA,NA,4.33629221508009,NA,NA,NA,NA,NA
150.1,NA,NA,NA,2.17324762779308,NA,NA,NA,NA,NA
155,NA,NA,NA,1.70390776451383,NA,NA,NA,NA,1.71772239529249
156,NA,NA,NA,6.73400673400673,NA,6.75133689839572,NA,NA,4.74645205953617
156.9,NA,NA,NA,2.98949086827875,NA,NA,NA,NA,NA
165,NA,NA,NA,3.65268850117335,1.02935111355513,3.55949197860963,2.33770718232044,NA,3.14122533748702
176.9,NA,NA,NA,6.04019997959392,1.39881770690129,NA,NA,NA,NA
177.9,NA,NA,NA,1.9589837771656,NA,1.20320855614973,0.81146408839779,NA,NA
179,NA,NA,NA,3.25476992143659,NA,NA,NA,0.015249441301494,3.32294911734164
181,NA,NA,NA,1.66309560248954,NA,NA,NA,NA,NA
185.1,NA,NA,NA,7.43801652892562,1.92810008248556,3.25311942959002,1.06353591160221,0.24477245733575,NA
191,NA,NA,NA,13.9373533312927,3.08977178993676,10.5837789661319,9.79972375690608,NA,12.3355832467982
192.1,NA,NA,NA,3.26497296194266,NA,NA,NA,0.0147244405200975,NA
195.1,NA,NA,NA,6.35649423528211,NA,NA,NA,0.0246994553666312,NA
200.1,NA,NA,NA,14.9372513008877,19.9202639538081,NA,NA,NA,NA
203,NA,NA,NA,2.68339965309662,NA,NA,1.52624309392265,NA,1.36292834890966
209,NA,NA,NA,14.2944597490052,NA,11.7479946524064,7.82113259668508,NA,12.6730702665282
210,NA,NA,NA,2.22426283032344,1.00529282375584,NA,NA,NA,2.61336102457598
211,NA,NA,NA,2.43852668095092,NA,NA,NA,NA,1.04707511249567
213.1,NA,NA,NA,20.467299255178,40.7753643112455,39.5443404634581,NA,NA,NA
214.2,NA,NA,NA,2.31609019487807,NA,NA,NA,NA,NA
222.9,NA,NA,NA,2.28548107335986,NA,4.21680035650624,NA,NA,NA
239,NA,NA,NA,3.32619120497908,NA,1.38146167557932,1.25,NA,NA
240,NA,NA,NA,3.69350066319763,0.266359637063514,NA,NA,NA,NA
241.1,NA,NA,NA,1.65289256198347,NA,NA,NA,NA,NA
256.1,NA,NA,NA,13.4272013059892,100,NA,NA,NA,1.9730010384216
257,NA,NA,NA,4.60157126823793,NA,3.23640819964349,NA,NA,NA
264.9,NA,NA,NA,3.74451586572799,NA,4.39505347593583,NA,NA,NA
269,NA,NA,NA,5.97898173655749,1.17198240307946,NA,2.97997237569061,NA,5.05797853928695
282.9,NA,NA,NA,7.90735639220488,NA,NA,NA,NA,NA
295,NA,NA,NA,2.80583613916947,NA,1.50958110516934,NA,0.00775291851597174,1.60955347871236
296.9,NA,NA,NA,2.16304458728701,NA,NA,NA,NA,1.02976808584285
311,NA,NA,NA,2.85685134169983,NA,NA,1.53660220994475,0.0139674626492467,3.36621668397369
312.1,NA,NA,NA,2.58136924803591,1.34210888094583,NA,NA,NA,1.57926618206992
314.8,NA,NA,NA,3.25476992143659,NA,NA,NA,NA,NA
325.8,NA,NA,NA,3.91796755433119,NA,NA,NA,NA,NA
328.1,NA,NA,NA,5.84634220997857,NA,NA,NA,NA,NA
329,NA,NA,NA,6.13202734414856,1.26477866373385,3.66532976827094,NA,0.0379954053885103,3.90273451021115
331.1,NA,NA,NA,7.36659524538312,NA,5.8545008912656,4.65814917127072,NA,7.00934579439252
339,NA,NA,NA,1.56106519742883,NA,NA,NA,0.0041877969306745,NA
341.9,NA,NA,NA,10.5703499642894,NA,NA,NA,NA,NA
344,NA,NA,NA,2.05081114172023,NA,NA,NA,NA,NA
355,NA,NA,NA,9.87654320987654,1.89373109705802,NA,NA,NA,8.28141225337487
356.1,NA,NA,NA,2.43852668095092,NA,3.53721033868093,NA,0.0208901473713821,2.92921426098996
383,NA,NA,NA,1.55086215692276,NA,NA,NA,0.00640989326123648,2.24125995154033
389.1,NA,NA,NA,2.38751147842057,NA,NA,NA,0.0133814152653623,NA
399,NA,NA,NA,1.86715641261096,NA,1.49844028520499,1.64709944751381,NA,NA
406.1,NA,NA,NA,2.16304458728701,NA,NA,1.70580110497238,NA,NA
416,NA,NA,NA,1.78553208856239,NA,1.57642602495544,0.673342541436464,0.0114035053447521,NA
416.9,NA,NA,NA,1.87735945311703,NA,NA,NA,NA,NA
429,NA,NA,NA,10.5907560453015,NA,NA,NA,NA,NA
430.1,NA,NA,NA,6.17283950617284,0.795642012647787,NA,2.28591160220994,0.0355779599299869,3.03305642090689
431,NA,NA,NA,2.77522701765126,NA,NA,2.54834254143646,NA,NA
503.1,NA,NA,NA,1.99979593918988,NA,NA,NA,0.019693633962618,1.50138456213223
52,NA,NA,NA,NA,0.345408303546879,NA,NA,NA,NA
53,NA,NA,NA,NA,1.04309870772615,1.13636363636364,1.61602209944751,NA,1.61820699203877
54.1,NA,NA,NA,NA,1.19088534506461,NA,NA,0.135108340626367,NA
55.1,NA,NA,NA,NA,3.1481990651636,2.09447415329768,3.77762430939227,0.837852409826843,2.26289373485635
58.1,NA,NA,NA,NA,0.728622491064064,NA,1.45027624309392,0.21068403450647,NA
60.9,NA,NA,NA,NA,0.508660984327743,NA,NA,NA,1.47109726548979
61.9,NA,NA,NA,NA,0.501787187242233,NA,NA,NA,NA
64.9,NA,NA,NA,NA,0.836884795160847,NA,NA,NA,NA
67,NA,NA,NA,NA,0.345408303546879,0.924688057040998,NA,NA,NA
68.1,NA,NA,NA,NA,0.512097882870498,NA,NA,0.136048458304682,NA
68.9,NA,NA,NA,NA,1.07574924388232,NA,NA,NA,NA
70.1,NA,NA,NA,NA,1.60675006873797,NA,NA,0.819782615490404,0.822083766009
71,NA,NA,NA,NA,0.316194665933462,NA,NA,NA,0.765835929387331
78,NA,NA,NA,NA,1.35929337365961,NA,1.98549723756906,NA,NA
78.9,NA,NA,NA,NA,0.46913665108606,NA,NA,NA,NA
82,NA,NA,NA,NA,0.55162221611218,NA,0.524861878453039,NA,NA
83,NA,NA,NA,NA,0.403835578773715,NA,NA,NA,0.835064035998615
84,NA,NA,NA,NA,0.4966318394281,NA,NA,NA,NA
85,NA,NA,NA,NA,0.324786912290349,1.74910873440285,NA,NA,0.951886465905158
88.1,NA,NA,NA,NA,3.25646136926038,NA,NA,1.86831905982372,NA
92.1,NA,NA,NA,NA,2.44535331317019,NA,NA,0.18643632399825,NA
